id,claim,manuscript,recomputed,rel_diff,status,source
F1.n,number of parameter sets in Fig 1,264,264,0,PASS,needsim1.csv: row count
F1.thin.lo,median |rel. err| of Prop. 1 at p<0.02,0.011,0.01097,0.0026,PASS,"needsim1.csv: median |thin_err|, p<0.02"
F1.lna.lo,median |rel. err| of the LNA at p<0.02,0.00022,0.000215,0.0225,PASS,"needsim1.csv: median |lna_err|, p<0.02 and beta=0"
F1.thin.hi,median |rel. err| of Prop. 1 at half occupancy,0.82,0.8202,0.000265,PASS,"needsim1.csv: median |thin_err|, p in [0.45,0.55]"
F1.lna.hi,median |rel. err| of the LNA at half occupancy,0.034,0.03357,0.0126,PASS,"needsim1.csv: median |lna_err|, p in [0.45,0.55] and beta=0"
F2.slope,intrinsic excess scales as eps^0.988,0.988,0.9884,0.000427,PASS,"needsim2_matchedmean.csv: slope of log(CV2_int-1/mf) vs log(eps), beta=0"
F2.coeff,coefficient of the suppression law,0.412,0.4124,0.00107,PASS,needsim2_matchedmean.csv: exp(intercept) of the same fit
F2.ext.b0,d log CV2_ext / d log eps at beta=0,0,1.886e-13,1.89e-13,PASS,"needsim2_matchedmean.csv: slope, beta=0"
F2.ext.b1,d log CV2_ext / d log eps at beta=1,-0.476,-0.4764,0.000748,PASS,"needsim2_matchedmean.csv: slope, beta=1"
F2.g.exact,max |g-1| at beta=0 (transparency),0,3.284e-13,3.28e-13,PASS,"needsim2_matchedmean.csv: max|gain-1|, beta=0"
F2.g.all,mean-field gain accurate to better than 8% (max %),<= 8,7.693,,PASS,"needsim2_matchedmean.csv: max |gain/g_th-1|, beta=1"
F2.g.peak,worst-case gain error (%),7.7,7.693,0.000919,PASS,"needsim2_matchedmean.csv: max |gain/g_th-1|, beta=1"
F2.g.peakM,decoy load at which the gain error peaks,300,316,0.0533,PASS,"needsim2_matchedmean.csv: argmax |gain/g_th-1|, beta=1"
F2.g.weak,gain accurate to 1% or better for M<32 (max %),<= 1,0.4402,,PASS,"needsim2_matchedmean.csv: max |gain/g_th-1|, beta=1, M<32"
F2.floor.p0.09,extrinsic floor inflation 1/(1-p)^2 at p=0.09,1.21,1.208,0.002,PASS,closed form 1/(1-p)^2
F2.floor.p0.5,extrinsic floor inflation 1/(1-p)^2 at p=0.5,4,4,0,PASS,closed form 1/(1-p)^2
F2.floor.p0.91,extrinsic floor inflation 1/(1-p)^2 at p=0.91,123,123.5,0.00371,PASS,closed form 1/(1-p)^2
F3.base.dilution,"CV2_cc with no reservoir, dilution, genes replicating",0.049,0.04909,0.00188,PASS,"needsim4_cc_decomp.csv: cc_rep at M=0, dosage=3"
F3.base.active-deg,"CV2_cc with no reservoir, active-deg, genes replicating",0.07,0.06985,0.00217,PASS,"needsim4_cc_decomp.csv: cc_rep at M=0, dosage=3"
F3.base.active-deg.nodose,"CV2_cc with no reservoir, active-deg, reservoir replicating alone",0.024,0.02368,0.0131,PASS,"needsim4_cc_decomp.csv: cc_rep at M=0, dosage=0"
F3.reduce,"peak fold reduction in CV2_cc, dilution, genes replicating",3.1,3.145,0.0145,PASS,"needsim4_cc_decomp.csv: max cc_ctl/cc_rep, dosage=3"
F3.reduce.M,reservoir size at that peak,274,274,0,PASS,needsim4_cc_decomp.csv: argmax of the same ratio
F3.reduce.141,"fold reduction at M=141, dilution, genes replicating",2.9,2.946,0.016,PASS,needsim4_cc_decomp.csv: cc_ctl/cc_rep at M=141
F3.dilution.nosource,"number of loads at which replication is a net source, dilution",0,0,0,PASS,"needsim4_cc_decomp.csv: count of ratio<1, dosage=3"
F3.inject.nodose,"fold excess over control at M=1995, active-deg, reservoir alone",2.8,2.827,0.00974,PASS,"needsim4_cc_decomp.csv: cc_rep/cc_ctl, dosage=0"
F3.inject.dose,"fold excess over control at M=19, active-deg, genes replicating",2.4,2.4,0.000141,PASS,"needsim4_cc_decomp.csv: cc_rep/cc_ctl, dosage=3"
F3.cross.nodose,"smallest M at which replication injects, active-deg, reservoir alone",274,274,0,PASS,"needsim4_cc_decomp.csv: min M with ratio<1, dosage=0"
F3.cross.dose,"smallest M at which replication no longer injects, active-deg, genes replicating",141,141,0,PASS,"needsim4_cc_decomp.csv: min M with ratio>1, dosage=3"
F3.peak.dose,"peak fold reduction, active-deg, genes replicating",1.8,1.803,0.00193,PASS,"needsim4_cc_decomp.csv: max ratio, dosage=3"
F3.Mopt.min.3,"min ratio of measured optimum to 0.75(kd+xf), genes replicating",1.49,1.493,0.00224,PASS,cancellation_optimum.csv: argmin(cc)/Mpred per kd
F3.Mopt.max.3,"max ratio of measured optimum to 0.75(kd+xf), genes replicating",1.5,1.504,0.00267,PASS,cancellation_optimum.csv: argmin(cc)/Mpred per kd
F3.red.min,min fold reduction at the cancellation optimum,2.1,2.118,0.00847,PASS,cancellation_optimum.csv: cc at smallest M / min(cc)
